rows,cols,implementation,sample,order_slot,elapsed_ms,seed
1024,1024,warp_wrapper,1,2,1.856237,20260829
1024,1024,workspace_reuse,2,0,1.500894,20260829
1024,1024,warp_wrapper,2,1,1.869037,20260829
1024,1024,workspace_fresh,2,2,1.814482,20260829
1024,1024,warp_wrapper,3,0,1.80973,20260829
1024,1024,workspace_fresh,3,1,1.804193,20260829
1024,1024,workspace_reuse,3,2,1.495101,20260829
1024,1024,workspace_fresh,4,0,2.057818,20260829
1024,1024,workspace_reuse,4,1,1.50511,20260829
1024,1024,warp_wrapper,4,2,1.872049,20260829
1024,1024,workspace_reuse,5,0,1.47872,20260829
1024,1024,warp_wrapper,5,1,1.823079,20260829
1024,1024,workspace_fresh,5,2,1.837005,20260829
1024,1024,warp_wrapper,6,0,1.804814,20260829
1024,1024,workspace_fresh,6,1,1.810097,20260829
1024,1024,workspace_reuse,6,2,1.516975,20260829
1024,1024,workspace_fresh,7,0,1.862996,20260829
1024,1024,workspace_reuse,7,1,1.495185,20260829
1024,1024,warp_wrapper,7,2,1.841215,20260829
1024,1024,workspace_reuse,8,0,1.485499,20260829
1024,1024,warp_wrapper,8,1,1.818009,20260829
1024,1024,workspace_fresh,8,2,1.809525,20260829
1024,1024,warp_wrapper,9,0,1.796051,20260829
1024,1024,workspace_fresh,9,1,1.817189,20260829
1024,1024,workspace_reuse,9,2,1.495998,20260829
1024,1024,workspace_fresh,10,0,1.868516,20260829
1024,1024,workspace_reuse,10,1,1.478269,20260829
1024,1024,warp_wrapper,10,2,1.829115,20260829
1024,1024,workspace_reuse,11,0,1.462398,20260829
1024,1024,warp_wrapper,11,1,1.862566,20260829
1024,1024,workspace_fresh,11,2,1.886423,20260829
1024,1024,warp_wrapper,12,0,1.858956,20260829
1024,1024,workspace_fresh,12,1,1.83867,20260829
1024,1024,workspace_reuse,12,2,1.525903,20260829
1024,1024,workspace_fresh,13,0,1.860718,20260829
1024,1024,workspace_reuse,13,1,1.547673,20260829
1024,1024,warp_wrapper,13,2,1.859432,20260829
1024,1024,workspace_reuse,14,0,1.533295,20260829
1024,1024,warp_wrapper,14,1,1.861053,20260829
1024,1024,workspace_fresh,14,2,1.821275,20260829
1024,1024,warp_wrapper,15,0,1.801133,20260829
1024,1024,workspace_fresh,15,1,1.963088,20260829
1024,1024,workspace_reuse,15,2,1.508522,20260829
1024,1024,workspace_fresh,16,0,1.862557,20260829
1024,1024,workspace_reuse,16,1,1.477617,20260829
1024,1024,warp_wrapper,16,2,1.814676,20260829
1024,1024,workspace_reuse,17,0,1.493524,20260829
1024,1024,warp_wrapper,17,1,1.86417,20260829
1024,1024,workspace_fresh,17,2,1.855298,20260829
1024,1024,warp_wrapper,18,0,1.789265,20260829
1024,1024,workspace_fresh,18,1,1.875249,20260829
1024,1024,workspace_reuse,18,2,1.494508,20260829
1024,1024,workspace_fresh,19,0,1.896856,20260829
1024,1024,workspace_reuse,19,1,1.50402,20260829
1024,1024,warp_wrapper,19,2,1.897149,20260829
1024,1024,workspace_reuse,20,0,1.51056,20260829
1024,1024,warp_wrapper,20,1,1.872965,20260829
1024,1024,workspace_fresh,20,2,1.861689,20260829
1024,2048,warp_wrapper,0,0,3.703222,20260829
1024,2048,workspace_fresh,0,1,4.870642,20260829
1024,2048,workspace_reuse,0,2,3.245031,20260829
1024,2048,workspace_fresh,1,0,3.690623,20260829
1024,2048,workspace_reuse,1,1,3.076844,20260829
1024,2048,warp_wrapper,1,2,3.580186,20260829
1024,2048,workspace_reuse,2,0,3.086958,20260829
1024,2048,warp_wrapper,2,1,3.586674,20260829
1024,2048,workspace_fresh,2,2,3.562409,20260829
1024,2048,warp_wrapper,3,0,3.581243,20260829
1024,2048,workspace_fresh,3,1,3.561716,20260829
1024,2048,workspace_reuse,3,2,3.046876,20260829
1024,2048,workspace_fresh,4,0,3.530653,20260829
1024,2048,workspace_reuse,4,1,3.071874,20260829
1024,2048,warp_wrapper,4,2,3.573917,20260829
1024,2048,workspace_reuse,5,0,3.041648,20260829
1024,2048,warp_wrapper,5,1,3.551896,20260829
1024,2048,workspace_fresh,5,2,3.653209,20260829
1024,2048,warp_wrapper,6,0,3.624238,20260829
1024,2048,workspace_fresh,6,1,3.661896,20260829
1024,2048,workspace_reuse,6,2,3.142129,20260829
1024,2048,workspace_fresh,7,0,3.843126,20260829
