rows,cols,implementation,dispatch,scope,sample,order_slot,launches,elapsed_ms,seed
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,15,1,1,0.031407,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,15,2,1,0.024173,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,16,0,100,0.00259232014418,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,16,1,100,0.00228192001581,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,16,2,100,0.00309664011002,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,16,0,1,0.024194,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,16,1,1,0.022796,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,16,2,1,0.02457,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,17,0,100,0.00229312002659,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,17,1,100,0.0030860799551,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,17,2,100,0.00256671994925,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,17,0,1,0.025169,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,17,1,1,0.023762,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,17,2,1,0.02369,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,18,0,100,0.0031052801013,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,18,1,100,0.00259615987539,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,18,2,100,0.00228832006454,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,18,0,1,0.02612,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,18,1,1,0.023128,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,18,2,1,0.02489,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,19,0,100,0.00259135991335,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,19,1,100,0.00231872007251,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,19,2,100,0.00308928012848,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,19,0,1,0.024646,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,19,1,1,0.023439,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,19,2,1,0.024044,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,20,0,100,0.00229663997889,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,20,1,100,0.00308544009924,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,20,2,100,0.00262975990772,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,20,0,1,0.024367,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,20,1,1,0.023665,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,20,2,1,0.024118,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,0,0,100,0.0108896005154,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,0,1,100,0.00590687990189,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,0,2,100,0.00288480013609,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,0,0,1,0.356524,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,0,1,1,0.348295,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,0,2,1,0.363624,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,1,0,100,0.00592671990395,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,1,1,100,0.00287903994322,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,1,2,100,0.010860799551,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,1,0,1,0.358367,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,1,1,1,0.357663,20260829
