rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,20,1,0.0409856438637,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,0,0,0.00694144010544,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,0,1,0.00780192017555,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,1,0,0.00704064011574,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,1,1,0.00610848009586,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,2,0,0.00596992015839,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,2,1,0.00683647990227,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,3,0,0.00696096003056,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,3,1,0.00615935981274,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,4,0,0.00601055979729,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,4,1,0.00691775977612,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,5,0,0.00677568018436,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,5,1,0.00598272025585,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,6,0,0.00580384016037,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,6,1,0.00679840028286,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,7,0,0.00698176026344,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,7,1,0.00600319981575,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,8,0,0.00594496011734,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,8,1,0.00684127986431,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,9,0,0.00686464011669,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,9,1,0.00594976007938,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,10,0,0.00593280017376,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,10,1,0.00687583982944,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,11,0,0.00688736021519,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,11,1,0.0060054397583,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,12,0,0.00597567975521,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,12,1,0.00683903992176,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,13,0,0.00681183993816,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,13,1,0.00594720005989,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,14,0,0.00599359989166,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,14,1,0.00683583974838,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,15,0,0.00688768029213,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,15,1,0.00587167978287,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,16,0,0.00588864028454,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,16,1,0.00678911983967,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,17,0,0.0066883200407,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,17,1,0.00606464028358,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,18,0,0.00586943984032,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,18,1,0.00691648006439,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,19,0,0.00686432003975,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,19,1,0.00593952000141,20260829
1024,128,torch_softmax,resident_cuda_event_per_call,20,0,0.00596831977367,20260829
1024,128,kernel_lab_custom,resident_cuda_event_per_call,20,1,0.00677504003048,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,0,0,0.513872131705,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0,1,0.259045511484,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,1,0,0.224813818932,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,1,1,0.216400250793,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,2,0,0.21349452436,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,2,1,0.19477121532,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,3,0,0.2018250525,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,3,1,0.188680365682,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,4,0,0.22067502141,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,4,1,0.210175290704,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,5,0,0.202296301723,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,5,1,0.195035710931,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,6,0,0.228883698583,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,6,1,0.191615894437,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,7,0,0.205434858799,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,7,1,0.193068757653,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,8,0,0.209854915738,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,8,1,0.227726995945,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,9,0,0.208627432585,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,9,1,0.205423682928,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,10,0,0.226652249694,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,10,1,0.234866514802,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,11,0,0.226689502597,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,11,1,0.200452283025,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,12,0,0.203933566809,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,12,1,0.215282663703,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,13,0,0.217409804463,20260829
